الوحدة التدريبية,المرحلة التدريبية,القسم,التخصص,فعالية البرنامج,المقررات,الوحدات المعتمدة,الفصل التدريبي,عدد المقررات المطلوبة,عدد الوحدات المطلوبة,المقرر,اسم المقرر,محاضرة,عملي
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,احصا-303,الإحصاء والاحتمالات,3,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,احصا-303,الإحصاء والاحتمالات,3,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,احصا-303,الإحصاء والاحتمالات,3,0
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,انجل-301,لغة انجليزية1,4,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,انجل-301,لغة انجليزية1,4,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,انجل-301,لغة انجليزية1,4,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,رياض-304,رياضيات تطبيقية,3,0
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,رياض-304,رياضيات تطبيقية,3,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,رياض-304,رياضيات تطبيقية,3,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-321,أساسيات الأمن السيبراني,1,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-321,أساسيات الأمن السيبراني,1,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-321,أساسيات الأمن السيبراني,1,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-351,مبادئ برمجة الحاسب,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-351,مبادئ برمجة الحاسب,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-351,مبادئ برمجة الحاسب,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,شبكا-313,شبكات الحاسب,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,شبكا-313,شبكات الحاسب,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,شبكا-313,شبكات الحاسب,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,نشبك-312,أساسيات إدارة أنظمة الشبكات,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,نشبك-312,أساسيات إدارة أنظمة الشبكات,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,نشبك-312,أساسيات إدارة أنظمة الشبكات,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-423,اختبار الاختراق,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-423,اختبار الاختراق,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-423,اختبار الاختراق,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-431,إدارة أمن المعلومات,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-431,إدارة أمن المعلومات,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-431,إدارة أمن المعلومات,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-442,التقنيات المتقدمة في أمن الشبكات,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-442,التقنيات المتقدمة في أمن الشبكات,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-442,التقنيات المتقدمة في أمن الشبكات,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-444,أمن الحوسبة السحابية و الأنظمة التخيلية,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-444,أمن الحوسبة السحابية و الأنظمة التخيلية,2,2
